source_url,source_title,publisher,source_type,date_published_or_year,access_date,reliability_assessment,marketing_source_yes_no,possible_bias,notes
local_pdf:coop_aarsberetning_25_final.pdf,Coop amba årsberetning 2025,Coop amba,annual report / financial source,2025,2026-05-04,high for reported financial/store/member figures,no,low: audited/official financial reporting,
local_pdf:coop-danmark-aarsrapport-2025.pdf,Coop Danmark A/S årsrapport 2025,Coop Danmark A/S,annual report / financial source,2025,2026-05-04,high for reported financial/store/member figures,no,low: audited/official financial reporting,
https://medlem.coop.dk/foreningen/medlem-medejer/,Medlemmer er medejere,Coop Medlem,official company source,2026,2026-05-04,high for Coop's own positioning; medium for performance interpretation,no,company self-presentation; useful for claims about identity and customer promise,
https://medlem.coop.dk/,Coop Medlem,Coop Medlem,official company source,2026,2026-05-04,high for Coop's own positioning; medium for performance interpretation,no,company self-presentation; useful for claims about identity and customer promise,
https://indmeld.coop.dk/,Bliv medlem af Coop,Coop Medlem,official company source,2026,2026-05-04,high for Coop's own positioning; medium for performance interpretation,no,company self-presentation; useful for claims about identity and customer promise,
https://medlem.coop.dk/medlemsfordele,Medlemsfordele,Coop Medlem,official company source,2026,2026-05-04,high for Coop's own positioning; medium for performance interpretation,no,company self-presentation; useful for claims about identity and customer promise,
https://medlem.coop.dk/medlemsfordele/personlige-tilbud/,Personlige tilbud,Coop Medlem,official company source,2026,2026-05-04,high for Coop's own positioning; medium for performance interpretation,no,company self-presentation; useful for claims about identity and customer promise,
https://medlem.coop.dk/coop-app/kom-godt-i-gang/,Coop app,Coop Medlem,official company source,2026,2026-05-04,high for Coop's own positioning; medium for performance interpretation,no,company self-presentation; useful for claims about identity and customer promise,
https://medlem.coop.dk/coop-app/scan-og-betal,Scan & Betal med Coop appen,Coop Medlem,official company source,2026,2026-05-04,high for Coop's own positioning; medium for performance interpretation,no,company self-presentation; useful for claims about identity and customer promise,
https://medlem.coop.dk/spil-og-konkurrencer/,Spil og konkurrencer i Coop appen,Coop Medlem,official company source,2026,2026-05-04,high for Coop's own positioning; medium for performance interpretation,no,company self-presentation; useful for claims about identity and customer promise,
https://medlem.coop.dk/coop-app/klimaaftryk/,Klimaaftryk i Coop appen,Coop Medlem,official company source,2026,2026-05-04,high for Coop's own positioning; medium for performance interpretation,no,company self-presentation; useful for claims about identity and customer promise,
https://medlem.coop.dk/fordelskonto,Coop FordelsKonto,Coop Medlem,official company source,2026,2026-05-04,high for Coop's own positioning; medium for performance interpretation,no,company self-presentation; useful for claims about identity and customer promise,
https://coop.dk/vores-maerker/,Coops egne varemærker,Coop Danmark,official company source,2026,2026-05-04,high for Coop's own positioning; medium for performance interpretation,no,company self-presentation; useful for claims about identity and customer promise,
https://coop.dk/vores-maerker/coop/,Coop vareserie,Coop Danmark,official company source,2026,2026-05-04,high for Coop's own positioning; medium for performance interpretation,no,company self-presentation; useful for claims about identity and customer promise,
https://coop.dk/vores-maerker/anglamark/,Änglamark,Coop Danmark,official company source,2026,2026-05-04,high for Coop's own positioning; medium for performance interpretation,no,company self-presentation; useful for claims about identity and customer promise,
https://coop.dk/vores-maerker/irma/,Irma som varebrand,Coop Danmark,official company source,2026,2026-05-04,high for Coop's own positioning; medium for performance interpretation,no,company self-presentation; useful for claims about identity and customer promise,
