competitor,chain_or_brand,source_url,source_type,year,evidence_type,metric_name,metric_value,digital_solution,customer_value_proposition,observed_success_factor,comparison_to_coop,relevant_theory_lens,confidence_level,quote_or_short_evidence
Salling Group,Group / Netto / føtex / Bilka,https://sallinggroup.com/en/stores/key-figures,official company key figures,2025,financial statistic,Revenue,83.168 bn DKK,"Netto+, Bilka Plus and føtex plus apps support offers and Scan&Go","Scale retail group across discount, supermarket and hypermarket",Scale and profitable operations alongside digital store utilities,Contrasts with Coop's 2025 loss and closed online store,Strategic positioning; Implementation,high,"Salling reports 2025 revenue of 83,168m DKK and profit of 1,990m DKK."
Salling Group,Netto Denmark,https://sallinggroup.com/en/stores/key-figures,official company key figures,2025,store statistic,Netto Denmark stores,578,Netto+ with personal +Prices and Scan&Go,Discount and convenience,Dense discount footprint combined with app-based price/time savings,Coop's 365discount is weaker in Loyalty Group's 2025 customer index,Implementation; Strategic positioning,high,Salling lists 578 Netto Denmark stores at 31/12/2025.
Salling Group,Netto+,https://netto.dk/netto-plus/,official app/loyalty page,2026,digital feature,Netto+ features,Personal +Priser; freshness guarantee; Scan&Go; MobilePay,Save time and money in Netto stores,Digital solution reinforces discount/convenience promise,"Coop also has Scan & Pay, but competitor ties app tightly to one clear chain concept",Digital Value Creation: Experiences and Relationships,medium,"Netto+ page lists personal prices, Scan&Go and other benefits.",
Salling Group,Bilka,https://support.bilka.dk/hc/da/articles/36560426099857-Scan-Go-i-Bilka-Plus-appen,official support page,2025,digital feature,Scan&Go integration,Separate Scan&Go app replaced by Bilka Plus app,Large-format shopping made faster,Consolidates scan functionality inside chain-specific app,"Unlike Coop's one app across heterogeneous chains, Salling uses chain-branded apps",Implementation,high,Support page states Bilka Plus app replaces the previous separate Scan&Go app.,
Salling Group,føtex,https://support.foetex.dk/hc/da/articles/28279829727633-f%C3%B8tex-Scan-Go,official support page,2026,digital feature,Scan&Go availability,All stores except føtex Go,Supermarket convenience and queue reduction,Physical-store integration rather than standalone digital strategy,"Coop's app functionality is strong, but financial comparison suggests execution fit matters",Digital Value Creation: Experiences; Implementation,high,føtex support states Scan&Go can be used in all stores except føtex Go.,
REMA 1000 Denmark,REMA 1000,https://www.paqle.dk/p/rema-1000/227324/finance,financial database,2024,financial statistic,Revenue,28.478 bn DKK,REMA app for planning and Scan Selv app for checkout,Hard discount with simple everyday value,Clear discount model with strong revenue and profit,Coop has larger app narrative but weaker group result in the case context,Strategic positioning,medium,"Paqle lists 2024 revenue of 28,478,327 thousand DKK."
REMA 1000 Denmark,REMA 1000,https://www.paqle.dk/p/rema-1000/227324/finance,financial database,2024,financial statistic,Profit for year,515.650 m DKK,Planning app plus Scan Selv,Simple price-led shopping,Operational model appears profitable without relying on broad digital ecosystem claims,Coop's app reach does not by itself offset group losses,Implementation; Strategic positioning,medium,"Paqle lists 2024 profit for the year of 515,650 thousand DKK."
REMA 1000 Denmark,REMA 1000,https://ni.dk/ni-news/id/56662f68-b455-489a-bebe-706b19ceda1c/Analyse-giver-Rema-1000-discounttronen---Nettos-ejer-afviser-blankt,trade/news source,2025,market share,Retail Institute market share,18.2% vs Netto 17.9%; contested by Salling,Discount chain scale,Reported share gain supports discount-strength interpretation but should be used cautiously,Coop comparison should avoid overclaiming because source includes dispute,Strategic positioning; Source criticism,medium,Article reports Retail Institute's 18.2%/17.9% estimate and Salling's objection.,
REMA 1000 Denmark,REMA 1000,https://ansvarlighed.rema1000.dk/samfundsansvar,official responsibility page,2024,store statistic,Store count,More than 420 stores,Physical discount network supported by apps,Strong footprint supports convenient everyday shopping,Coop's larger/mixed chain portfolio may be less conceptually clear,Implementation,high,REMA states it has more than 420 stores in Denmark.,
REMA 1000 Denmark,REMA Scan Selv,https://rema1000.dk/information/scan-selv,official app/scan page,2026,digital feature,Scan Selv,Scan items; pay with one swipe; exit with QR; receipts,Simple fast self-checkout,Digital utility is narrow and store-process oriented,Coop's app is broader; REMA's solution appears simpler,Digital Value Creation: Experiences,high,"Official page says users scan, pay with one swipe and scan a QR code at exit.",
REMA 1000 Denmark,REMA 1000 app,https://apps.apple.com/dk/app/rema-1000/id426938378,app store page,2026,app metric,App Store rating,3.3 / 5 from approx. 702 ratings,"Shopping lists, offers, recipes and store info",Planning app supports weekly household shopping,Lower rating than some competitors suggests digital is not the main success claim,Digital Business Model: customer knowledge,medium,App Store page shows 3.3 rating and 702 ratings.,
REMA 1000 Denmark,REMA Scan Selv,https://play.google.com/store/apps/details?id=dk.rema1000.app,app store page,2026,app metric,Google Play downloads,100K+,Scan Selv for all stores,Checkout utility supports in-store efficiency,"Coop likely has wider app reach, but REMA may win through store/price concept",Implementation,medium,Google Play page shows 100K+ downloads.,
Lidl Denmark,Lidl,https://via.ritzau.dk/pressemeddelelse/14578254/kunderne-har-talt-lidl-giver-mest-vaerdi-for-pengene-og-leverer-bedst-pa-frugt-og-gront?publisherId=13559974&lang=da,official press release,2025,customer index,BrancheIndex result,Top in value for money and fruit/vegetables; only chain moving forward,Low price plus quality signal,Value-for-money perception strengthens discount position,Coop's 365discount is mentioned as weak in Loyalty Group source,Strategic positioning,medium,Lidl release reports top placement for value for money in BrancheIndex 2025.,
Lidl Denmark,Lidl,https://onp.dk/seneste-nyheder/lidl-vil-aabne-mere-end-60-nye-butikker-i-danmark/,news source,2023,store statistic,Store count and target,139 stores; target above 200,Expanding discount footprint,Expansion guided by economic viability and map discipline,Contrasts with Coop restructuring and store concept uncertainty,Implementation; Strategic positioning,medium-low,Ritzau/ONP reports 139 stores and goal above 200; source is older.,
Lidl Denmark,Lidl Plus,https://www.lidl.dk/c/lidl-plus/s10013731,official loyalty page,2026,digital feature,Lidl Plus,"Digital card, weekly offers, coupons, receipts, store finder, Click & Collect",Extra savings through app,Digital features directly reinforce price promise,Coop app has more platform breadth; Lidl app is tightly tied to savings,Digital Value Creation: Relationships,medium,Lidl page says Lidl Plus is a digital customer card for discounts and benefits.,
Lidl Denmark,Lidl Plus,https://www.lidl.dk/c/lidl-plus-kuponer/s10014639,official loyalty page,2026,digital feature,Personal coupons,Personal offers; weekly coupons; auto redemption after scanning Lidl Plus card,Savings with minimal friction,Personalization is expressed as price/coupon utility,"Coop personalization exists, but Lidl links personalization to a very clear price cue",Digital Value Creation: Relationships,medium,Coupon page says coupons include personal offers and are redeemed automatically when card is scanned.,
Lidl Denmark,Kupon Plus,https://www.lidl.dk/c/lidl-plus-kupon-plus/s10014640,official loyalty page,2026,digital feature,Purchase-goal coupons,Purchases registered toward monthly goals; coupons increase with goals reached,Repeat shopping incentives,Loyalty mechanic is linked to frequency and basket accumulation,"Similar to Coop gamification, but anchored in Lidl's discount economics",Digital Value Creation: Relationships,medium,Kupon Plus page says each purchase with card is registered toward purchase goals.,
Dagrofa,Group / MENY / SPAR / Min Købmand / Let-Køb,https://www.dagrofa.dk/artikel/dagrofa-loefter-driftsresultatet-og-omsaetningen-naar-rekordhoeje-209-mia-kr/,official press release,2025,financial statistic,Revenue,20.9 bn DKK,MENY and SPAR member apps; chain-level concepts,"Food experiences, local merchants and portfolio chains",Growth in all business legs and record revenue,Coop has broad chain portfolio but weaker 2025 financials in case context,Strategic positioning; Implementation,medium-high,Dagrofa reports 2025 revenue of 20.9bn DKK.
Dagrofa,Group,https://www.dagrofa.dk/artikel/dagrofa-loefter-driftsresultatet-og-omsaetningen-naar-rekordhoeje-209-mia-kr/,official press release,2025,financial statistic,EBITDA / operating earnings,529 m DKK,Digital growth mentioned alongside retail and foodservice,Operational improvement and investments,Transformation from 2018 is presented as sustained improvement,Contrast with Coop's recovery plan and recent loss,Implementation,medium-high,Dagrofa reports 529m DKK operating earnings in 2025.
Dagrofa,Group,https://www.dagrofa.dk/artikel/dagrofa-loefter-driftsresultatet-og-omsaetningen-naar-rekordhoeje-209-mia-kr/,official press release,2025,store statistic,Stores,544,Chain-level digital/member apps,Local and food-experience-oriented retail,Store count grew from 511 in 2018 to 544 in 2025,Coop's challenge is not only digital reach but chain/store economics,Implementation,medium-high,Dagrofa reports 544 stores in 2025.
