topic,subtopic,source_url,source_title,source_type,year,evidence_type,finding,metric_name,metric_value,business_model_component,customer_value_proposition_element,digital_business_model_lens,dvc_lens,strategic_positioning_lens,interpretation,confidence_level,marketing_source_yes_no,quote_or_short_evidence
Identity,Member ownership,https://medlem.coop.dk/foreningen/medlem-medejer/,Medlemmer er medejere,official company source,2026,positioning claim,Coop presents members as co-owners of the cooperative and states that Coop Danmark is owned by Coop amba's members together with OK a.m.b.a.,,,Customer relationships; Key resources,membership; community; influence,customer knowledge,Relationships,cooperative/member-owned retailer,Membership is not only a loyalty mechanic but part of Coop's ownership narrative.,high,no,mere end 2 millioner medlemmer ... ejer Coop Danmark
Identity,No shareholders,https://medlem.coop.dk/foreningen/medlem-medejer/,Medlemmer er medejere,official company source,2026,positioning claim,Coop says it has no shareholders and that members receive value through cash member benefits.,,,Revenue streams; Customer relationships,member value; bonus,customer knowledge,Relationships,cooperative/member-owned retailer,The claim frames surplus distribution as customer/member value rather than investor return.,high,no,Coop har ingen aktionærer
Identity,Local role,https://medlem.coop.dk/foreningen/medlem-medejer/,Medlemmer er medejere,official company source,2026,positioning claim,"Coop links membership to shaping local stores, local activity and a greener, more sustainable everyday life.",,,Customer relationships; Channels,locality; responsibility,omnichannel customer relationship,Relationships; Relevance,community retailer,The local/community promise differentiates Coop from a pure price-only grocery proposition.,high,no,sætte dit præg på din lokale butik
Identity,Food responsibility,https://medlem.coop.dk/foreningen/medlem-medejer/,Medlemmer er medejere,official company source,2026,positioning claim,"Coop claims to set strict requirements so customers can shop safely, including work on problematic chemicals.",,,Key activities; Key partners,trust; responsibility,supplier,Relevance,responsible retailer,Responsibility is presented as reducing customer worry in grocery shopping.,high,no,så du trygt kan fylde i kurven
Identity,Member voice,https://medlem.coop.dk/foreningen/medlem-medejer/,Medlemmer er medejere,official company source,2026,operational claim,"Coop states that it asks 1,000 co-owners weekly about issues from liver pate prices to chemicals and listens through local boards.",weekly member survey sample,"1,000 co-owners",Customer relationships; Key resources,influence; trust,customer knowledge,Relationships,member-informed retailer,This is a concrete customer-knowledge mechanism tied to cooperative governance.,high,no,hver uge 1.000 medejere
Business model,Revenue and core activity,local_pdf:coop-danmark-aarsrapport-2025.pdf,Coop Danmark A/S årsrapport 2025,annual report / financial source,2025,financial metric,Coop Danmark's main activity is grocery retail; 2025 net revenue was DKK 32.565bn for Coop Danmark A/S and DKK 44.756bn including brugsforeninger.,net revenue,DKK 32.565bn; DKK 44.756bn incl. brugsforeninger,Revenue streams,grocery retail,supplier/omnichannel,Digital outputs,large grocery retailer,The revenue base is still overwhelmingly physical grocery retail rather than standalone digital platform income.,high,no,Nettoomsætning 2025 32.565; inkl. Brugsforeninger 44.756
Business model,Stores,local_pdf:coop-danmark-aarsrapport-2025.pdf,Coop Danmark A/S årsrapport 2025,annual report / financial source,2025,operational metric,"Coop Danmark reported 536 stores in 2025; including brugsforeninger, the network was 900 stores.",number of stores,536; 900 incl. brugsforeninger,Channels; Key resources; Cost structure,physical availability,omnichannel,Digital infrastructure,store-based retailer,Store footprint is a central resource but also a cost structure and implementation constraint.,high,no,Antal butikker 2025 536 ... inkl. Brugsforeninger 900
Business model,Financial performance,https://coop.dk/kontakt/pressekontakt/pressemeddelelser/coop-forbedrer-driftsindtjeningen-med-350-millioner-kr/,Coop forbedrer driftsindtjeningen med 350 millioner kr.,annual report / financial source,2026,financial metric,"Coop reported EBITDA before property-sale gains of DKK 313m in 2025, up DKK 350m from 2024, while EBIT was still a DKK 215m loss.",EBITDA / EBIT,EBITDA DKK 313m; EBIT -DKK 215m,Revenue streams; Cost structure,,business design,,turnaround under core-store focus,Evidence supports the tension of improved operations but continuing accounting losses.,high,no,driftsindtjeningen ... 313 millioner kr.; EBIT ... underskud på 215 millioner kr.
Business model,2024 turnaround,https://coop.dk/kontakt/pressekontakt/pressemeddelelser/coops-resultat-for-2024-stoerre-fremgang-end-forventet/,Coops resultat for 2024,annual report / financial source,2025,financial metric,"Coop reported 2024 EBIT before special items of DKK 162m, an improvement of DKK 879m versus 2023, with the statement attributing progress partly to renewed focus on the core business.",EBIT before special items,DKK 162m; +DKK 879m vs 2023,Cost structure; Key activities,,business design,,core-business focus,The official turnaround story emphasises store retail basics rather than online growth.,high,no,fornyet og stærkt fokus på kerneforretningen
Business model,2023 weakness,https://coop.dk/kontakt/pressekontakt/pressemeddelelser/coop-og-brugsforeningernes-driftsresultat-for-2023/,Coop og brugsforeningernes driftsresultat for 2023,annual report / financial source,2024,financial metric,"In 2023 Coop Danmark EBIT before special impairments was -DKK 717m, while Coop and brugsforeninger revenue was DKK 46.6bn despite closures of Irma and Coop.dk MAD.",2023 EBIT / revenue,-DKK 717m; DKK 46.6bn incl. brugsforeninger,Revenue streams; Cost structure,,business design,,financially pressured retailer,"The scale of revenue coexisted with weak profitability, making cost-to-serve and store portfolio important.",high,no,EBIT-resultatet blev -717 mio. kr.
Business model,Online grocery closure,https://coop.dk/mad,Coop.dk MAD lukkede i 2023,official company source,2026,operational fact,Coop.dk MAD is closed and Coop states that home delivery of groceries is no longer available; customers are directed to physical Coop chains.,,,Channels,physical store availability,omnichannel retreat,Digital outputs,store-first retailer,This is direct evidence that Coop's customer-facing digital model is not currently online grocery delivery.,high,no,Coop.dk MAD lukkede i 2023
Business model,Coop.dk webshop closure,https://kundeservice.shopping.coop.dk/hc/da/articles/21459967795602-Hvorfor-og-hvorn%C3%A5r-er-Coop-dk-lukket,Hvorfor og hvornår er Coop.dk lukket?,official company source,2025,operational fact,Coop states that Coop.dk closed on 31 January 2025 to increase focus on the core business: physical stores.,webshop closure date,31 January 2025,Channels; Key activities,,business design,,core-store focus,The closure reinforces a strategic pullback from standalone e-commerce.,high,no,"øge fokus på kerneforretningen, som er de fysiske butikker"
Business model,Online grocery economics,https://ni.dk/ni-news/id/35f0f2a6-7ddc-4fee-bf00-4e127bf759ec/Coops-hjemmelevering-lukker,Coops hjemmelevering lukker,independent news source,2023,news report,Ritzau reported Coop.dk MAD had run with losses for ten years and that Coop saw no economically sustainable model for online supermarkets under its conditions.,Coop.dk MAD loss period,10 years with losses (reported),Cost structure; Channels,,business design,,digital ambition vs grocery economics,Independent reporting supports the contradiction between digital ambition and online grocery economics.,medium-high,no,har de seneste ti år kørt med underskud
Business model,Private labels,https://coop.dk/vores-maerker/,Coops egne varemærker,official company source,2026,portfolio evidence,"Coop positions private labels as covering discount, everyday products and premium/responsible products, with strict supplier requirements.",,,Key resources; Revenue streams; Key partners,price; quality; trust; responsibility,supplier,Relevance,multi-tier private-label retailer,"Private labels let Coop express several value propositions under one group: value, responsibility and quality.",high,no,"discount, hverdagsvarer eller ... ekstra lækkert"
