slug	url	publisher	source_type	notes
salling_key_figures	https://sallinggroup.com/en/stores/key-figures	Salling Group	official company key figures	Financial figures and store count.
salling_2025_press	https://sallinggroup.com/nyheder/international-vaekst-loefter-salling-group-til-historisk-niveau/14899554	Salling Group	official press release	2025 revenue, EBIT and investment narrative.
netto_plus	https://netto.dk/netto-plus/	Netto	official app/loyalty page	Netto+ value proposition and Scan&Go.
netto_scan_go	https://support.netto.dk/hc/da/articles/30919097799057-Hvordan-bruger-jeg-Scan-Go	Netto	official support page	Scan&Go usage flow.
bilka_scango	https://www.bilka.dk/scango/	Bilka	official app/scan page	Bilka Plus and Scan&Go usage.
bilka_scango_support	https://support.bilka.dk/hc/da/articles/36560426099857-Scan-Go-i-Bilka-Plus-appen	Bilka	official support page	Scan&Go integration into Bilka Plus app.
foetex_scango	https://support.foetex.dk/hc/da/articles/28279829727633-f%C3%B8tex-Scan-Go	føtex	official support page	føtex Plus Scan&Go pilot/availability.
rema_scan_selv	https://rema1000.dk/information/scan-selv	REMA 1000 Denmark	official app/scan page	REMA Scan Selv flow.
rema_main_app_appstore	https://apps.apple.com/dk/app/rema-1000/id426938378	Apple App Store	app store page	REMA planning app ratings and features.
rema_scan_app_googleplay	https://play.google.com/store/apps/details?id=dk.rema1000.app	REMA 1000 Denmark / Google Play	app store page	REMA Scan Selv downloads and app description.
rema_reitan	https://rema1000.dk/vores-historie/reitan	REMA 1000 Denmark	official company page	REMA ownership and REITAN structure.
rema_csr	https://ansvarlighed.rema1000.dk/samfundsansvar	REMA 1000 Denmark	official responsibility page	Store count and public reports.
rema_market_share_ritzau	https://ni.dk/ni-news/id/56662f68-b455-489a-bebe-706b19ceda1c/Analyse-giver-Rema-1000-discounttronen---Nettos-ejer-afviser-blankt	Ritzau / NI	trade/news source	Retail Institute market-share figures and caveat.
rema_paqle_financials	https://www.paqle.dk/p/rema-1000/227324/finance	Paqle	financial database	REMA 1000 Denmark financial figures; secondary source.
lidl_plus	https://www.lidl.dk/c/lidl-plus/s10013731	Lidl Denmark	official loyalty page	Lidl Plus features.
lidl_plus_coupons	https://www.lidl.dk/c/lidl-plus-kuponer/s10014639	Lidl Denmark	official loyalty page	Coupon and personalization features.
lidl_plus_coupon_plus	https://www.lidl.dk/c/lidl-plus-kupon-plus/s10014640	Lidl Denmark	official loyalty page	Purchase-goal coupons.
lidl_value_for_money	https://via.ritzau.dk/pressemeddelelse/14578254/kunderne-har-talt-lidl-giver-mest-vaerdi-for-pengene-og-leverer-bedst-pa-frugt-og-gront?publisherId=13559974&lang=da	Lidl Denmark / Ritzau	official press release	BrancheIndex value-for-money result.
lidl_store_expansion	https://onp.dk/seneste-nyheder/lidl-vil-aabne-mere-end-60-nye-butikker-i-danmark/	ONP.dk / Ritzau	news source	Lidl Denmark store-expansion and store-count reporting.
dagrofa_2025_results	https://www.dagrofa.dk/artikel/dagrofa-loefter-driftsresultatet-og-omsaetningen-naar-rekordhoeje-209-mia-kr/	Dagrofa	official press release	2025 revenue, EBITDA, profit, investments and store count.
dagrofa_chains	https://www.dagrofa.dk/kaeder/	Dagrofa	official company page	Chain positioning for MENY, SPAR, Min Købmand, Let-Køb.
dagrofa_meny_brand	https://www.dagrofa.dk/artikel/meny-kaares-som-danmarks-staerkeste-dagligvarebrand/	Dagrofa	official press release	Loyalty Group BrancheIndex 2025 result.
dagrofa_annual_report_2025	https://www.dagrofa.dk/wp-content/uploads/2026/03/DAGROFA_AaRSRAPPORT_2025_144DPI_1.pdf	Dagrofa	annual report PDF	Official 2025 annual report.
meny_app_googleplay	https://play.google.com/store/apps/details?id=dk.meny	Dagrofa / Google Play	app store page	MENY app features and downloads.
spar_sammen_appstore	https://apps.apple.com/dk/app/spar-sammen/id586234461	Apple App Store	app store page	SPAR SAMMEN ratings and loyalty features.
nemlig_2025_results	https://via.ritzau.dk/pressemeddelelse/14710924/nemlig-fortsaetter-vaeksten-og-halverer-underskud-i-nyt-regnskabsar?publisherId=13560508&lang=da	nemlig.com / Ritzau	official press release	2024/2025 financials and online grocery positioning.
nemlig_proff_financials	https://www.proff.dk/regnskab/nemlig.com-as/odense-s/n%C3%A6rings-og-nydelsesmidler/GXIFMDI116S	Proff.dk	financial database	Nemlig financial table.
nemlig_app_googleplay	https://play.google.com/store/apps/details?id=com.nemlig	nemlig.com / Google Play	app store page	App features, ratings and downloads.
nemlig_organic	https://via.ritzau.dk/pressemeddelelse/14785234/nemlig-styrker-oko-andelen-trods-pres-i-markedet?lang=da&publisherId=13560508	nemlig.com / Ritzau	official press release	Organic share and differentiation.
loyaltygroup_brancheindex	https://loyaltygroup.dk/brancheanalyser/brancheindex/brancheindex-dagligvarer/	Loyalty Group	market/customer index	Customer loyalty rankings and Coop contrast.
di_ecommerce_2025	https://www.danskindustri.dk/vi-radgiver-dig/ecommerce/di-e-commerce-analyser/analyser/2026/danskernes-arlige-e-commerce-tracker-2025/	Dansk Industri	market report	Online shopping and mobile-first market statistics.
coop_2025_results	https://coop.dk/kontakt/pressekontakt/pressemeddelelser/coop-forbedrer-driftsindtjeningen-med-350-millioner-kr/	Coop Danmark	official press release	Coop Danmark 2025 annual results and chain comments.
coop_annual_report_2025	https://coop.dk/media/hv1lo4bk/coop-danmark-aarsrapport-2025.pdf	Coop Danmark	annual report PDF	Coop Danmark annual report 2025 PDF; Crawl4AI extracted metadata only, PDF saved separately.
