source_url,source_title,publisher,source_type,date_published_or_year,access_date,reliability_assessment,marketing_source_yes_no,notes
https://sallinggroup.com/en/stores/key-figures,The most important financial figures,Salling Group,official company key figures,2025,2026-05-03,High: official company figures; annual-report-style key figures.,no,"Includes 2025 revenue, EBIT, profit, stores and employees."
https://sallinggroup.com/nyheder/international-vaekst-loefter-salling-group-til-historisk-niveau/14899554,International vækst løfter Salling Group til historisk niveau,Salling Group,official press release,2026-04-27,2026-05-03,"Medium-high: official, but narrative framing is promotional.",yes,"Explains 2025 growth, Rimi Baltic acquisition and investments."
https://netto.dk/netto-plus/,Netto+ fordelsprogram,Netto,official app/loyalty page,not found,2026-05-03,Medium: official feature description; marketing language.,yes,"Personal +Priser, Scan&Go, freshness guarantee, MobilePay."
https://support.netto.dk/hc/da/articles/30919097799057-Hvordan-bruger-jeg-Scan-Go,Hvordan bruger jeg Scan&Go?,Netto,official support page,2024-12-13 / updated,2026-05-03,High for feature mechanics.,no,Explains Scan&Go flow and rollout via new store concept.
https://www.bilka.dk/scango/,Bilka Scan&Go,Bilka,official app/scan page,not found,2026-05-03,High for feature mechanics; marketing tone.,yes,"Scan, pack and pay in Bilka Plus app."
https://support.bilka.dk/hc/da/articles/36560426099857-Scan-Go-i-Bilka-Plus-appen,Scan&Go i Bilka Plus appen,Bilka,official support page,2025-06-26,2026-05-03,High for feature mechanics.,no,States Scan&Go is integrated into Bilka Plus and replaces separate app.
https://support.foetex.dk/hc/da/articles/28279829727633-f%C3%B8tex-Scan-Go,føtex Scan&Go,føtex,official support page,2026-02-10 / updated,2026-05-03,High for feature mechanics.,no,States Scan&Go is available in all stores except føtex Go.
https://rema1000.dk/information/scan-selv,REMA 1000 Scan Selv,REMA 1000 Denmark,official app/scan page,not found,2026-05-03,High for feature mechanics.,yes,"Scan, pay and exit QR flow."
https://apps.apple.com/dk/app/rema-1000/id426938378,REMA 1000 App Store page,Apple App Store / REMA 1000 Denmark,app store page,accessed 2026,2026-05-03,Medium-high for ratings and app description.,yes,"Shopping lists, offers, recipes and ratings."
https://play.google.com/store/apps/details?id=dk.rema1000.app,REMA 1000 Scan Selv Google Play page,Google Play / REMA 1000 Denmark,app store page,2025 / accessed 2026,2026-05-03,Medium-high for downloads and app description.,yes,100K+ downloads and Scan Selv description.
https://rema1000.dk/vores-historie/reitan,REITAN - et værdidrevet selskab,REMA 1000 Denmark,official company page,not found,2026-05-03,High for ownership structure.,yes,REMA Denmark is part of REITAN RETAIL.
https://ansvarlighed.rema1000.dk/samfundsansvar,Samfundsansvar i REMA 1000,REMA 1000 Denmark,official responsibility page,2024 report page / accessed 2026,2026-05-03,High for store count statement.,yes,States more than 420 stores in Denmark.
https://ni.dk/ni-news/id/56662f68-b455-489a-bebe-706b19ceda1c/Analyse-giver-Rema-1000-discounttronen---Nettos-ejer-afviser-blankt,Analyse giver Rema 1000 discounttronen - Nettos ejer afviser blankt,Ritzau / NI,trade/news source,2025-11-06,2026-05-03,Medium: reports Retail Institute figures and Salling's objection.,no,Useful because it includes both estimate and contestation.
https://www.paqle.dk/p/rema-1000/227324/finance,Rema 1000 finance,Paqle,financial database,2024,2026-05-03,Medium: secondary database based on filed accounts.,no,Used where official Danish financial page was not found.
https://www.lidl.dk/c/lidl-plus/s10013731,Lidl Plus,Lidl Denmark,official loyalty page,2026-03-02 shown in page,2026-05-03,Medium: official features; marketing language.,yes,"Digital customer card, discounts, weekly offers, receipts, store finder and click-and-collect."
https://www.lidl.dk/c/lidl-plus-kuponer/s10014639,Lidl Plus-kuponer,Lidl Denmark,official loyalty page,accessed 2026,2026-05-03,Medium-high for feature mechanics.,yes,Personal offers and weekly coupons.
https://www.lidl.dk/c/lidl-plus-kupon-plus/s10014640,Kupon Plus,Lidl Denmark,official loyalty page,accessed 2026,2026-05-03,Medium-high for feature mechanics.,yes,Purchase goals convert into exclusive coupons.
https://via.ritzau.dk/pressemeddelelse/14578254/kunderne-har-talt-lidl-giver-mest-vaerdi-for-pengene-og-leverer-bedst-pa-frugt-og-gront?publisherId=13559974&lang=da,Kunderne har talt: Lidl giver mest værdi for pengene,Lidl Denmark / Ritzau,official press release,2025-09-15,2026-05-03,Medium: reports external survey but via Lidl press release.,yes,BrancheIndex 2025 value-for-money result; source sample stated.
https://onp.dk/seneste-nyheder/lidl-vil-aabne-mere-end-60-nye-butikker-i-danmark/,Lidl vil åbne mere end 60 nye butikker i Danmark,ONP.dk / Ritzau,news source,2023-03-06,2026-05-03,Medium: older secondary source; useful for expansion logic and store-count baseline.,no,No newer official Danish Lidl store-count page was found in this run.
https://www.dagrofa.dk/artikel/dagrofa-loefter-driftsresultatet-og-omsaetningen-naar-rekordhoeje-209-mia-kr/,"Dagrofa løfter driftsresultatet og omsætningen når rekordhøje 20,9 mia. kr.",Dagrofa,official press release,2026-03-26,2026-05-03,Medium-high: official numbers; promotional framing.,yes,Used because annual-report PDF crawl returned little text.
https://www.dagrofa.dk/kaeder/,Vores retail kæder,Dagrofa,official company page,accessed 2026,2026-05-03,High for chain positioning.,yes,"MENY, SPAR, Min Købmand and Let-Køb positioning."
https://www.dagrofa.dk/artikel/meny-kaares-som-danmarks-staerkeste-dagligvarebrand/,MENY kåres som Danmarks stærkeste dagligvarebrand,Dagrofa,official press release,2025-09-13,2026-05-03,Medium: reports external Loyalty Group survey through Dagrofa.,yes,"MENY wins 5 of 8 areas; 4,694 respondents."
https://www.dagrofa.dk/wp-content/uploads/2026/03/DAGROFA_AaRSRAPPORT_2025_144DPI_1.pdf,Dagrofa årsrapport 2025,Dagrofa,annual report PDF,2025,2026-05-03,"High in principle, but Crawl4AI extraction failed for this PDF.",no,Raw source contains metadata only; official press page used for extracted figures.
https://play.google.com/store/apps/details?id=dk.meny,MENY Danmark Google Play page,Google Play / Dagrofa,app store page,2025 / accessed 2026,2026-05-03,Medium-high for downloads and app description.,yes,100K+ downloads; member prices and food inspiration.
https://apps.apple.com/dk/app/spar-sammen/id586234461,SPAR SAMMEN App Store page,Apple App Store / Dagrofa,app store page,accessed 2026,2026-05-03,Medium-high for ratings and app description.,yes,"4.6 rating, 2.3K ratings, member prices and recipes."
https://via.ritzau.dk/pressemeddelelse/14710924/nemlig-fortsaetter-vaeksten-og-halverer-underskud-i-nyt-regnskabsar?publisherId=13560508&lang=da,Nemlig fortsætter væksten og halverer underskud,nemlig.com / Ritzau,official press release,2026-01,2026-05-03,"Medium-high: official financial release, but promotional.",yes,"2024/2025 revenue, adjusted EBITDA and coverage claims."
https://www.proff.dk/regnskab/nemlig.com-as/odense-s/n%C3%A6rings-og-nydelsesmidler/GXIFMDI116S,nemlig.com A/S regnskab,Proff.dk,financial database,2025-07,2026-05-03,Medium: secondary database based on accounts.,no,Useful cross-check of official press figures.
https://play.google.com/store/apps/details?id=com.nemlig,nemlig.com Google Play page,Google Play / nemlig.com,app store page,2025 / accessed 2026,2026-05-03,"Medium-high for downloads, rating and app description.",yes,"4.6 rating, 100K+ downloads and app functions."
https://via.ritzau.dk/pressemeddelelse/14785234/nemlig-styrker-oko-andelen-trods-pres-i-markedet?lang=da&publisherId=13560508,Nemlig styrker øko-andelen trods pres i markedet,nemlig.com / Ritzau,official press release,2026-02-06,2026-05-03,Medium-high: official figure; promotional framing.,yes,Organic share increased to 23.8% in 2025.
https://loyaltygroup.dk/brancheanalyser/brancheindex/brancheindex-dagligvarer/,BrancheIndex Dagligvarer 2025,Loyalty Group,market/customer index,2025,2026-05-03,"Medium-high: external survey, but full methodology/data not fully open.",no,"Meny first, Rema down, Lidl third, Coop chains mixed/weak."
https://www.danskindustri.dk/vi-radgiver-dig/ecommerce/di-e-commerce-analyser/analyser/2026/danskernes-arlige-e-commerce-tracker-2025/,Danskernes årlige e-commerce tracker 2025,Dansk Industri,market report,2026-02-04,2026-05-03,"Medium-high: trade association analysis; aggregate e-commerce, not grocery-specific.",no,"136bn DKK online consumption, 81% monthly online shoppers, 49% mobile purchases."
LLM/CONTEXT.md and LLM/Markdown/opgavebeskrivelse_eksamen_it_strategi_2026.md,Project context and official exam assignment notes,CBS exam material / local context,local exam context,2026,2026-05-03,High for case framing; Lobyco figures still require source criticism.,mixed,Used only for Coop comparison baseline.
https://coop.dk/kontakt/pressekontakt/pressemeddelelser/coop-forbedrer-driftsindtjeningen-med-350-millioner-kr/,Coop forbedrer driftsindtjeningen med 350 millioner kr.,Coop Danmark,official press release,2026-04-09,2026-05-03,"High for official 2025 group figures; narrative framing is promotional.",yes,"Revenue 32.5bn DKK, EBITDA 313m DKK, EBIT -215m DKK, chain/store comments."
https://coop.dk/media/hv1lo4bk/coop-danmark-aarsrapport-2025.pdf,Coop Danmark årsrapport 2025,Coop Danmark,annual report PDF,2025,2026-05-03,"High in principle, but Crawl4AI extraction returned metadata only; PDF saved as raw file.",no,"Downloaded PDF saved in raw_sources; press release used for extracted comparable figures."
